['draft-gallant-enum-e164-snap', 'Expired Internet-Draft (1 hit)', 1]
['rfc1971', 'RFC (1 hit)', 9]
['draft-cartwright-drinks-sppp-over-soap', 'Replaced Internet-Draft (1 hit)', 20]
['rfc2159', 'RFC (1 hit)', 2]
['rfc2719', 'RFC (1 hit)', 5]
faildraft-ietf-ppvpn-as-vr
['draft-szego-wcor-pop', 'Expired Internet-Draft (1 hit)', 1]
['draft-park-6dnar', 'Expired Internet-Draft (1 hit)', 2]
['rfc5516', 'RFC (1 hit)', 4]
['draft-hallambaker-jbcd-container', 'Expired Internet-Draft (1 hit)', 3]
['draft-herbert-udp-magic-numbers', 'Expired Internet-Draft (1 hit)', 2]
['draft-xli-behave-xlate-partial-state', 'Expired Internet-Draft (1 hit)', 2]
['draft-bmoeller-tls-falsestart', 'Replaced Internet-Draft (1 hit)', 5]
['draft-niccolini-speermint-voipthreats', 'Expired Internet-Draft (1 hit)', 6]
['draft-koren-avt-crtp-ipcp', 'Expired Internet-Draft (1 hit)', 1]
['draft-carpenter-ietf-disputes', 'Expired Internet-Draft (1 hit)', 1]
['rfc6845', 'RFC (1 hit)', 10]
['rfc8120', 'RFCs (2 hits)', 27]
['draft-ash-multi-area-te-reqmts', 'Expired Internet-Draft (1 hit)', 2]
['draft-kahng-mobileip-moving6to4', 'Expired Internet-Draft (1 hit)', 1]
['rfc8431', 'RFC (1 hit)', 20]
['draft-sury-dnskey-ed448', 'Replaced Internet-Draft (1 hit)', 6]
['rfc2519', 'RFC (1 hit)', 5]
['rfc7640', 'RFC (1 hit)', 13]
['draft-salgueiro-secure-state-management', 'Expired Internet-Draft (1 hit)', 7]
['draft-polk-rsvp-aggregate-reduction', 'Expired Internet-Draft (1 hit)', 1]
['rfc4677', 'RFC (1 hit)', 10]
['draft-yount-krb-cred-clear-text', 'Expired Internet-Draft (1 hit)', 2]
['draft-ietf-crisp-lw-core', 'Expired Internet-Draft (1 hit)', 1]
['draft-shen-mobileip-ipv6-ha-discov', 'Expired Internet-Draft (1 hit)', 1]
['draft-smyslov-ipsecme-ikev2-compact', 'Active Internet-Draft (1 hit)', 7]
['draft-stephan-ippm-test-packet-header', 'Expired Internet-Draft (1 hit)', 2]
['rfc6929', 'RFC (1 hit)', 17]
['rfc4070', 'RFC (1 hit)', 8]
['rfc5470', 'RFC (1 hit)', 14]
['draft-yoshino-wish', 'Expired Internet-Draft (1 hit)', 4]
['draft-schaad-trust-router-problem', 'Expired Internet-Draft (1 hit)', 2]
['rfc2722', 'RFC (1 hit)', 10]
['draft-pignataro-mpls-reserved-labels-lb', 'Expired Internet-Draft (1 hit)', 2]
['draft-koodli-idle-mode-ctv6', 'Expired Internet-Draft (1 hit)', 1]
['draft-greene-ss7-arch-frame', 'Expired Internet-Draft (1 hit)', 2]
['draft-cauchie-vcarddav-oma-cab-extensions', 'Replaced Internet-Draft (1 hit)', 5]
['draft-carpenter-prismatic-reflections', 'Expired Internet-Draft (1 hit)', 1]
['rfc3771', 'RFC (1 hit)', 3]
['draft-johnston-cuss-sip-uui-reqs', 'Replaced Internet-Draft (1 hit)', 11]
['draft-elwin-l2tpext-diffserv', 'Expired Internet-Draft (1 hit)', 1]
['draft-xiang-alto-multidomain-analytics', 'Expired Internet-Draft (1 hit)', 3]
['draft-johansson-ip1394-asynch-streams', 'Expired Internet-Draft (1 hit)', 1]
['draft-shah-l2vpn-arp-mediation', 'Expired Internet-Draft (1 hit)', 6]
['draft-stewart-addip-sctp-sigtran', 'Expired Internet-Draft (1 hit)', 2]
['draft-li-ccamp-wson-igp-eval', 'Expired Internet-Draft (1 hit)', 2]
